carrier,invoice_id,invoice_date,shipment_id,posting_date,customer_ref,service_raw,service_class,bultos_count,weight_kg,origin_country,destination_country,base_cost,fuel_surcharge,other_surcharges,total_net,currency,año,mes,source_file
seur,30490,2021-10-31,7426699,2021-10-01,21166843,,parcel,1,0.7000000000000001,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426700,2021-10-01,21166918,,parcel,1,5.451,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426701,2021-10-01,21166877,,parcel,2,14.200000000000001,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426702,2021-10-01,21166848,,parcel,1,1.2,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426703,2021-10-01,21166919,,parcel,2,9.695,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426704,2021-10-01,21166933,,parcel,1,8.475,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426705,2021-10-01,21013793,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426706,2021-10-01,21166878,,parcel,1,3.471,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426707,2021-10-01,21166935,,parcel,1,21.327,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426708,2021-10-01,21166818,,parcel,2,10.0,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426709,2021-10-01,21166806,,parcel,1,5.9,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426710,2021-10-01,21166893,,parcel,1,0.55,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426711,2021-10-01,21166826,,parcel,1,1.0,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426712,2021-10-01,21013863,,parcel,2,29.802,ES,,,,0.0,-0.9,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426713,2021-10-01,21166840,,parcel,1,7.3,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426714,2021-10-01,21166895,,parcel,1,1.377,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426715,2021-10-01,21166823,,parcel,1,5.798,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426716,2021-10-01,21166805,,parcel,2,18.9,ES,,,,0.0,-0.68,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426717,2021-10-01,21166881,,parcel,2,9.75,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426718,2021-10-01,21166832,,parcel,2,13.700000000000001,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426719,2021-10-01,21166882,,parcel,1,1.472,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426720,2021-10-01,21166850,,parcel,1,0.3,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426721,2021-10-01,21166829,,parcel,2,11.85,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426722,2021-10-01,21013864,,parcel,1,21.327,ES,,,,0.0,-0.37,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426723,2021-10-01,21166803,,parcel,1,1.95,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426724,2021-10-01,21166940,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426725,2021-10-01,21013836,,parcel,1,2.725,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426726,2021-10-01,21013878,,parcel,1,5.591,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426727,2021-10-01,21166913,,parcel,1,9.45,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426728,2021-10-01,21166938,,parcel,1,0.3,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426729,2021-10-01,21013841,,parcel,6,14.25,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426730,2021-10-01,21166790,,parcel,1,59.318000000000005,ES,,,,0.0,-2.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426731,2021-10-01,21166794,,parcel,1,20.939,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426732,2021-10-01,21166945,,parcel,1,1.0,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426733,2021-10-01,21013827,,parcel,1,1.571,ES,,,,0.0,-0.85,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426734,2021-10-01,21166822,,parcel,1,0.1,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426735,2021-10-01,21166915,,parcel,2,9.45,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426736,2021-10-01,21166795,,parcel,2,15.700000000000001,ES,,,,0.0,-0.68,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426737,2021-10-01,21166925,,parcel,1,5.653,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426738,2021-10-01,21166853,,parcel,1,5.591,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426739,2021-10-01,21166800,,parcel,2,20.45,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426740,2021-10-01,21166930,,parcel,1,1.0,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426741,2021-10-01,21166852,,parcel,1,0.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426742,2021-10-01,21166796,,parcel,1,2.05,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426743,2021-10-01,21166927,,parcel,1,2.725,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426744,2021-10-01,21166801,,parcel,1,5.653,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426745,2021-10-01,21013824,,parcel,1,12.036,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426746,2021-10-01,21166883,,parcel,2,13.653,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426747,2021-10-01,21166814,,parcel,1,0.9,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426748,2021-10-01,21166890,,parcel,1,1.402,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426749,2021-10-01,21166830,,parcel,2,23.6,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426750,2021-10-01,21166821,,parcel,1,1.571,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426751,2021-10-01,21166812,,parcel,1,5.8,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426752,2021-10-01,21166926,,parcel,1,0.1,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426753,2021-10-01,21166817,,parcel,1,3.24,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426754,2021-10-01,21166891,,parcel,1,1.2,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426756,2021-10-01,21166932,,parcel,1,9.018,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426757,2021-10-01,21013830,,parcel,1,2.725,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426758,2021-10-01,21166793,,parcel,2,23.25,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426759,2021-10-01,21166808,,parcel,1,6.7,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426760,2021-10-01,21013879,,parcel,1,5.798,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426761,2021-10-01,21166944,,parcel,1,1.0,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426762,2021-10-01,21166834,,parcel,1,6.95,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426763,2021-10-01,21013844,,parcel,1,55.0,ES,,,,0.0,-0.61,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426764,2021-10-01,21166809,,parcel,4,36.0,ES,,,,0.0,-1.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426765,2021-10-01,21166810,,parcel,1,14.1,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426766,2021-10-01,21013837,,parcel,1,1.0,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426767,2021-10-01,21013775,,parcel,1,0.6,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426768,2021-10-01,21166819,,parcel,2,6.677,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426769,2021-10-01,21166911,,parcel,1,5.451,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426770,2021-10-01,21166922,,parcel,2,19.25,ES,,,,0.0,-0.68,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426771,2021-10-01,21166914,,parcel,1,8.15,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426772,2021-10-01,21166839,,parcel,1,1.571,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426773,2021-10-01,21166811,,parcel,1,6.95,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426774,2021-10-01,21166798,,parcel,2,14.450000000000001,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426775,2021-10-01,21166931,,parcel,1,1.4270000000000003,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426776,2021-10-01,21166910,,parcel,2,6.8,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426777,2021-10-01,21166838,,parcel,1,3.74,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426778,2021-10-01,21166827,,parcel,1,5.451,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426779,2021-10-01,21166880,,parcel,2,20.35,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426780,2021-10-01,21166937,,parcel,1,0.6,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426781,2021-10-01,21166804,,parcel,1,5.508,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426782,2021-10-01,21166792,,parcel,1,3.9710000000000005,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426783,2021-10-01,21166874,,parcel,1,1.1,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426784,2021-10-01,21166855,,parcel,1,0.85,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426785,2021-10-01,21166916,,parcel,1,3.24,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426786,2021-10-01,21013835,,parcel,1,5.65,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426787,2021-10-01,21166799,,parcel,2,1.533,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426788,2021-10-01,21166900,,parcel,1,5.985,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426789,2021-10-01,21166831,,parcel,1,1.571,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426790,2021-10-01,21166813,,parcel,2,20.25,ES,,,,0.0,-0.37,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426791,2021-10-01,21166904,,parcel,1,1.472,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426792,2021-10-01,21166858,,parcel,1,0.9,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426793,2021-10-01,21166946,,parcel,1,1.0,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426794,2021-10-01,21166797,,parcel,1,0.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426795,2021-10-01,21166851,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426796,2021-10-01,21166816,,parcel,2,7.8,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426797,2021-10-01,21013834,,parcel,1,3.15,ES,,,,0.0,-0.19,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426798,2021-10-01,21166841,,parcel,1,4.3,ES,,,,0.0,-0.9400000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426799,2021-10-01,21166791,,parcel,1,4.25,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426800,2021-10-01,21166845,,parcel,1,1.0,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426801,2021-10-01,21166833,,parcel,2,18.25,ES,,,,0.0,-0.9,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426802,2021-10-01,21013838,,parcel,1,3.24,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426803,2021-10-01,21013839,,parcel,1,4.15,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426804,2021-10-01,21013840,,parcel,1,1.4000000000000001,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426805,2021-10-01,21013845,,parcel,1,2.4,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426806,2021-10-01,21013846,,parcel,1,5.451,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426807,2021-10-01,21013847,,parcel,1,5.591,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426808,2021-10-01,21013861,,parcel,2,5.653,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426809,2021-10-01,21013850,,parcel,1,5.451,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426810,2021-10-01,21013851,,parcel,1,6.95,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426811,2021-10-01,21013852,,parcel,1,5.75,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426812,2021-10-01,21013853,,parcel,1,6.3500000000000005,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426813,2021-10-01,21013854,,parcel,1,5.653,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426814,2021-10-01,21013855,,parcel,1,0.9500000000000001,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426815,2021-10-01,21013856,,parcel,1,3.9,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426816,2021-10-01,21013857,,parcel,1,3.24,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426817,2021-10-01,21166835,,parcel,1,4.819,ES,,,,0.0,-0.55,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426818,2021-10-01,21166921,,parcel,3,19.65,ES,,,,0.0,-0.33,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426819,2021-10-01,21166815,,parcel,2,33.85,ES,,,,0.0,-1.06,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426820,2021-10-01,21013825,,parcel,2,24.787,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426822,2021-10-01,21166943,,parcel,1,1.0,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426823,2021-10-01,21013842,,parcel,2,11.042,ES,,,,0.0,-0.6,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426824,2021-10-01,21166929,,parcel,1,2.657,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426825,2021-10-01,21166939,,parcel,1,1.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426826,2021-10-01,21013869,,parcel,1,20.932,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426935,2021-10-01,21166849,,parcel,1,0.6,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426936,2021-10-01,21013806,,parcel,1,0.2,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426937,2021-10-01,21166907,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426938,2021-10-01,21166908,,parcel,1,0.4,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426939,2021-10-01,21166905,,parcel,1,0.5,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426940,2021-10-01,21166872,,parcel,1,0.1,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426941,2021-10-01,21166837,,parcel,1,0.5,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426942,2021-10-01,21013726,,parcel,1,0.2,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426943,2021-10-01,21166867,,parcel,1,0.6,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426944,2021-10-01,21166906,,parcel,1,0.3,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426945,2021-10-01,21166865,,parcel,1,0.4,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426946,2021-10-01,21166860,,parcel,1,0.2,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426947,2021-10-01,21166846,,parcel,1,0.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426948,2021-10-01,21166869,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426950,2021-10-01,21013809,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,8689834,2021-10-01,,,parcel,1,1.0,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,903071,2021-10-01,,,parcel,1,2.0,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,9603396,2021-10-01,,,parcel,1,5.47,ES,,,,0.0,-0.69,EUR,2021,10,2021-10.parquet
seur,2093,2021-10-31,3444587,2021-10-04,8332939-SEUR,,parcel,1,0.25,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,4608041,2021-10-04,,,parcel,1,0.35,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,5311101,2021-10-04,,,parcel,1,24.03,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30494,2021-10-31,5489286,2021-10-04,33370,,parcel,2,12.081,ES,,,,0.0,-0.6,EUR,2021,10,2021-10.parquet
seur,30494,2021-10-31,5489288,2021-10-04,78505,,parcel,1,2.11,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,5489331,2021-10-04,,,parcel,1,12.0,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30493,2021-10-31,5501477,2021-10-04,,,parcel,1,6.0,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,6375516,2021-10-04,302016318988,,parcel,2,9.162,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7203292,2021-10-04,231009966229,,parcel,1,23.013,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434260,2021-10-04,171-0227894-9854701,,parcel,1,0.15,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434261,2021-10-04,171-0588154-8189127,,parcel,1,0.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434262,2021-10-04,171-3848334-3418714,,parcel,1,0.2,ES,,,,0.0,-0.18,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434263,2021-10-04,171-5142930-0542752,,parcel,1,1.5250000000000001,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434264,2021-10-04,171-5883983-8699551,,parcel,1,0.1,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434265,2021-10-04,21013888,,parcel,1,0.3,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434266,2021-10-04,21013899,,parcel,1,5.653,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434267,2021-10-04,21013900,,parcel,1,25.136,ES,,,,0.0,-1.24,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434268,2021-10-04,21013901,,parcel,1,1.4270000000000003,ES,,,,0.0,-0.85,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434269,2021-10-04,21013903,,parcel,1,0.2,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434270,2021-10-04,21013904,,parcel,3,14.159,ES,,,,0.0,-0.29,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434271,2021-10-04,21013905,,parcel,1,3.1980000000000004,ES,,,,0.0,-0.62,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434272,2021-10-04,21013906,,parcel,3,41.25,ES,,,,0.0,-1.79,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434273,2021-10-04,21013907,,parcel,3,33.6,ES,,,,0.0,-1.52,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434274,2021-10-04,21013908,,parcel,4,50.45,ES,,,,0.0,-1.83,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434275,2021-10-04,21013909,,parcel,2,24.55,ES,,,,0.0,-0.37,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434276,2021-10-04,21013910,,parcel,2,12.1,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434277,2021-10-04,21013911,,parcel,2,9.342,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434278,2021-10-04,21013912,,parcel,2,11.062000000000001,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434279,2021-10-04,21013913,,parcel,1,7.15,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7434280,2021-10-04,21013914,,parcel,1,6.3500000000000005,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
